month_year,operation,cas_sorties,sorties_with_weapons_released,weapons_released,isr_sorties,tanker_sorties,fuel_offloaded_millions_lbs,airlift_sorties,source_file,page
February 2016,OIR,48748.0,28760.0,21113.0,21905.0,84381.0,912.0,,02 - 29 February 2016 Airpower Summary v2.pdf,2
February 2015,OIR,,2308.0,,1992.0,4828.0,282.0,,28 February 2015 Airpower Summary.pdf,2
April 2015,OIR,,7309.0,7349.0,3080.0,4437.0,290.0,,30 April 2015 Airpower Summary.pdf,2
,OIR,,11061.0,5886.0,4790.0,7365.0,468.0,,30 June 2015 Airpower Summary corrected.pdf,2
November 2015,OIR,19263.0,8589.0,25581.0,8929.0,13664.0,840.0,9140.0,30 November  2015 Airpower Summary corrected.pdf,2
November 2014,OIR,211.0,981.0,5136.0,1622.0,3708.0,205.0,1292.0,30 November 2014 Airpower Summary.pdf,2
,OIR,,18875.0,18200.0,7129.0,11699.0,713.0,7410.0,30 September  2015 Airpower Summary corrected.pdf,2
September 2014,OIR,211.0,280.0,763.0,974.0,1.0,57.0,,30 September 2014 Airpower Summary.pdf,2
,OIR,15211.0,16592.0,15211.0,6540.0,10379.0,638.0,,31 August 2015 Airpower Summary corrected.pdf,2
December 2015,OIR,21113.0,9908.0,28714.0,9401.0,14737.0,912.0,10050.0,31 December 2015 Airpower Summary corrected.pdf,2
January 2015,OIR,,2308.0,,740.0,1122.0,81.0,,31 January 2015 Airpower Summary.pdf,2
March 2015,OIR,,5604.0,,1992.0,4828.0,282.0,,31 March 2015 Airpower Summary.pdf,2
May 2015,OIR,,2015.0,9318.0,2015.0,5873.0,383.0,,31 May 2015 Airpower Summary.pdf,2
,OIR,,22286.0,17592.0,8012.0,12723.0,774.0,8260.0,31 October  2015 Airpower Summary corrected.pdf,2
April 2016,OIR,7943.0,7943.0,7943.0,3327.0,27179.0,255.0,3000.0,Airpower Summary - April 2016.pdf,3
April 2017,OIR,,,10504.0,,,,,Airpower Summary - April 2017.pdf,1
,OIR,,28760.0,28181.0,2373.0,4859.0,282.0,1992.0,Airpower Summary - April 2017.pdf,3
August 2017,OIR,,,5075.0,,,,,Airpower Summary - August 2017.pdf,1
,OIR,,,6591.0,2373.0,4859.0,282.0,,Airpower Summary - August 2017.pdf,3
,OIR,,28796.0,21181.0,12770.0,13742.0,804.0,72800.0,Airpower Summary - December 2016.pdf,3
February 2017,OIR,,3040.0,3271.0,2148.0,1873.0,124.0,,Airpower Summary - February 2017.pdf,3
,OIR,,,28760.0,12719.0,13640.0,1053.0,,Airpower Summary - January 2017.pdf,3
,OIR,28760.0,,40657.0,18129.0,,1671.0,17142.0,Airpower Summary - July 2016.pdf,3
July 2017,OIR,,,4300.0,,40000.0,,,Airpower Summary - July 2017.pdf,1
,OIR,,28760.0,21181.0,12744.0,13764.0,804.0,78400.0,Airpower Summary - July 2017.pdf,3
June 2017,OIR,,,4848.0,,,,,Airpower Summary - June 2017.pdf,1
,OIR,,,28796.0,12713.0,13920.0,2387.0,,Airpower Summary - June 2017.pdf,3
,OIR,,28760.0,21688.0,12737.0,13576.0,1983.0,,Airpower Summary - March 2017.pdf,3
May 2016,OIR,8876.0,4721.0,8866.0,4221.0,33326.0,317.0,3800.0,Airpower Summary - May 2016.pdf,3
May 2017,OIR,,,4400.0,,,,,Airpower Summary - May 2017_Final.pdf,1
,OIR,,28696.0,21812.0,9414.0,13764.0,804.0,8400.0,Airpower Summary - May 2017_Final.pdf,3
,OIR,,28760.0,19676.0,7800.0,12592.0,1938.0,,Airpower Summary - November 2016.pdf,3
October 2016,OIR,,,1296.0,,,,,Airpower Summary - Oct 2016.pdf,1
,OIR,28760.0,,45627.0,21986.0,,1868.0,19142.0,Airpower Summary - Oct 2016.pdf,3
October 2017,OIR,,,1642.0,,,,,Airpower Summary - October 2017.pdf,1
,OIR,,,28760.0,12743.0,13901.0,766.0,,Airpower Summary - October 2017.pdf,3
September 2016,OIR,1782.0,,,,,,,Airpower Summary - September 2016.pdf,1
,OIR,28760.0,,45948.0,20355.0,,1795.0,18442.0,Airpower Summary - September 2016.pdf,3
September 2017,OIR,,,3550.0,,,,,Airpower Summary - September 2017_v2_101817.pdf,1
,OIR,,28760.0,28696.0,12770.0,13747.0,804.0,72800.0,Airpower Summary - September 2017_v2_101817.pdf,3
